"","CD_REFNIS","TOTAL","Post code","Submunicipality code"
"333","25122",6667,"1367","25122C"
"334","25123",11081,"1430","25123A"
"335","25124",7567,"1457","25124A"
"336","31003",16131,"8730","31003A"
"337","31004",20511,"8370","31004B"
"338","31005",119541,"8310","31005E"
"339","31005",119541,"8000","31005A"
"340","31005",119541,"8200","31005H"
"341","31005",119541,"8380","31005B"
"342","31006",11146,"8340","31006E"
"343","31012",14539,"8490","31012A"
"344","31022",24200,"8020","31022D"
"345","31033",20782,"8820","31033-Z"
"346","31040",23391,"8210","31040A"
"347","31040",23391,"8211","31040D"
"348","31042",2751,"8377","31042C"
"349","31043",32645,"8301","31043C"
"350","31043",32645,"8300","31043A"
"351","32003",17174,"8600","32003B"
"352","32006",10332,"8650","32006-Z"
"353","32010",8870,"8680","32010A"
"354","32011",12873,"8610","32011B"
"355","32030",3237,"8647","32030B"
"356","33011",35387,"8904","33011D"
"357","33011",35387,"8900","33011H"
"358","33011",35387,"8908","33011G"
"359","33011",35387,"8906","33011F"
"360","33011",35387,"8902","33011L"
"361","33011",35387,"8900","33011A"
"362","33016",1074,"8957","33016A"
"363","33021",19947,"8978","33021F"
"364","33021",19947,"8970","33021A"
"365","33021",19947,"8972","33021D"
"366","33029",19190,"8940","33029B"
"367","33037",12658,"8980","33037A"
"368","33039",7958,"8954","33039G"
"369","33039",7958,"8956","33039A"
"370","33039",7958,"8952","33039C"
"371","33039",7958,"8958","33039-Z"
"372","33039",7958,"8951","33039E"
"373","33039",7958,"8950","33039D"
"374","33039",7958,"8953","33039B"
"375","33040",8015,"8920","33040A"
"376","33041",3611,"8640","33041A"
"377","34002",15222,"8570","34002A"
"378","34002",15222,"8572","34002C"
"379","34002",15222,"8573","34002D"
"380","34003",10319,"8582","34003D"
"381","34003",10319,"8583","34003E"
"382","34003",10319,"8581","34003C"
"383","34003",10319,"8580","34003A"
"384","34009",12561,"8540","34009A"
"385","34013",29574,"8531","34013C"
"386","34013",29574,"8530","34013A"
"387","34022",78944,"8500","34022A"
"388","34022",78944,"8511","34022E"
"389","34022",78944,"8501","34022B"
"390","34022",78944,"8510","34022G"
"391","34023",14033,"8520","34023A"
"392","34025",5863,"8860","34025A"
"393","34027",34322,"8930","34027A"
"394","34040",39488,"8791","34040B"
"395","34040",39488,"8790","34040A"
"396","34040",39488,"8792","34040C"
"397","34040",39488,"8793","34040D"
"398","34041",31795,"8560","34041C"
"399","34042",25558,"8553","34042B"
"400","34042",25558,"8550","34042A"
"401","34042",25558,"8554","34042E"
"402","34042",25558,"8552","34042D"
"403","34042",25558,"8551","34042C"
"404","34043",2056,"8587","34043B"
"405","35002",18081,"8450","35002A"
"406","35005",12265,"8470","35005A"
"407","35006",14355,"8480","35006B"
"408","35011",19755,"8430","35011B"
"409","35011",19755,"8434","35011H"
"410","35011",19755,"8431","35011B"
"411","35011",19755,"8432","35011C"
"412","35011",19755,"8433","35011G"
"413","35013",72175,"8400","35013-Y"
"414","35014",9911,"8460","35014A"
"415","35029",12782,"8421","35029B"
"416","35029",12782,"8420","35029C"
"417","35029",12782,"8420","35029A"
"418","36006",10142,"8830","36006A"
"419","36007",11454,"8770","36007A"
"420","36008",29013,"8870","36008A-I"
"421","36010",9770,"8880","36010B"
"422","36011",9166,"8810","36011A"
"423","36012",11451,"8890","36012A"
"424","36015",65468,"8800","36015A-I"
"425","36019",11639,"8840","36019A"
"426","37002",8632,"8720","37002B"
"427","37007",11100,"8760","37007A"
"428","37010",8021,"8780","37010A"
"429","37011",6834,"8740","37011A"
"430","37012",5504,"8755","37012A"
"431","37015",20701,"8700","37015A"
"432","37017",10013,"8710","37017A"
"433","37018",15039,"8750","37018A"
"434","37020",9338,"8850","37020A"
"435","37020",9338,"8851","37020B"
"436","38002",5054,"8691","38002C"
"437","38002",5054,"8690","38002A-II"
"438","38008",11089,"8660","38008B"
"439","38014",21664,"8670","38014B"
"440","38016",11493,"8620","38016C"
"441","38025",12419,"8630","38025G"
"442","41002",90068,"9308","41002B"
"443","41002",90068,"9300","41002A"
"444","41002",90068,"9320","41002H"
"445","41002",90068,"9310","41002E"
